"Date","Départ","Arrivée","Nombre.de.trains.programmés","Nombre.de.trains.ayant.circulé","Nombre.de.trains.annulés","Nombre.de.trains.en.retard.à.l.arrivée","Taux.de.régularité","Nombre.de.trains.à.l.heure.pour.un.train.en.retard.à.l.arrivée"
"2025-07","CLERMONT-FERRAND","BÉZIERS",31,31,0,1,96.7741935483871,30
"2025-07","PARIS-AUSTERLITZ","RODEZ/ALBI",31,31,0,0,100,0
"2025-07","PARIS-AUSTERLITZ","TARBES",23,23,0,3,86.9565217391304,6.66666666666667
"2025-07","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",31,30,1,4,86.6666666666667,6.5
"2025-07","PARIS-AUSTERLITZ","CERBERE",28,28,0,9,67.8571428571429,2.11111111111111
"2025-06","CLERMONT-FERRAND","BÉZIERS",30,30,0,4,86.6666666666667,6.5
"2025-06","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",8,8,0,2,75,3
"2025-06","PARIS-AUSTERLITZ","TARBES",19,19,0,3,84.2105263157895,5.33333333333333
"2025-06","PARIS-AUSTERLITZ","CERBERE",9,8,1,1,87.5,7
"2025-06","PARIS-AUSTERLITZ","RODEZ/ALBI",13,13,0,1,92.3076923076923,12
"2025-05","CLERMONT-FERRAND","BÉZIERS",31,31,0,1,96.7741935483871,30
"2025-05","PARIS-AUSTERLITZ","CERBERE",8,8,0,1,87.5,7
"2025-05","PARIS-AUSTERLITZ","RODEZ/ALBI",25,25,0,2,92,11.5
"2025-05","PARIS-AUSTERLITZ","TARBES",18,18,0,1,94.4444444444444,17
"2025-05","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",6,6,0,0,100,0
"2025-04","PARIS-AUSTERLITZ","TARBES",19,19,0,1,94.7368421052632,18
"2025-04","PARIS-AUSTERLITZ","CERBERE",15,15,0,1,93.3333333333333,14
"2025-04","CLERMONT-FERRAND","BÉZIERS",30,30,0,2,93.3333333333333,14
"2025-04","PARIS-AUSTERLITZ","RODEZ/ALBI",28,28,0,0,100,0
"2025-04","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",6,6,0,0,100,0
"2025-03","CLERMONT-FERRAND","BÉZIERS",31,31,0,1,96.7741935483871,30
"2025-03","PARIS-AUSTERLITZ","TARBES",21,21,0,3,85.7142857142857,6
"2025-03","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",6,6,0,1,83.3333333333333,5
"2025-03","PARIS-AUSTERLITZ","RODEZ/ALBI",28,28,0,4,85.7142857142857,6
"2025-03","PARIS-AUSTERLITZ","CERBERE",8,8,0,0,100,0
"2025-02","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",8,8,0,1,87.5,7
"2025-02","PARIS-AUSTERLITZ","TARBES",8,8,0,2,75,3
"2025-02","CLERMONT-FERRAND","BÉZIERS",28,28,0,2,92.8571428571429,13
"2025-02","PARIS-AUSTERLITZ","RODEZ/ALBI",28,28,0,1,96.4285714285714,27
"2025-02","PARIS-AUSTERLITZ","CERBERE",18,18,0,4,77.7777777777778,3.5
"2025-01","CLERMONT-FERRAND","BÉZIERS",31,31,0,0,100,0
"2025-01","PARIS-AUSTERLITZ","RODEZ/ALBI",31,30,1,1,96.6666666666667,29
"2025-01","PARIS-AUSTERLITZ","TARBES",15,15,0,5,66.6666666666667,2
"2025-01","PARIS-AUSTERLITZ","LATOUR-DE-CAROL",9,8,1,1,87.5,7
