Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01;National;MONTPELLIER;PARIS LYON;206;340;2;;122;10.99180328;4.073619329;;58;44.75574713;7.465581854;Heurt d’un chevreuil par OUIGO 7801 vers Valence-TGV;58;7.465581854;31;11;22.0;38.0;12.0;22.0;2.0;4.0
2018-01;National;MONTPELLIER;LYON PART DIEU;112;299;6;;107;11.30903427;4.26410694;;62;31.8483871;9.1221843;;46;9.1221843;21;4;28.57142857;34.28571429;22.85714286;11.42857143;2.857142857;0.0
2018-02;National;MONTPELLIER;LYON PART DIEU;112;259;1;;110;9.671363636;4.248320413;;73;28.45068493;10.74147287;Dérangement du système de détection chute de rochers à Crest.;50;10.74147287;24;8;32.75862069;22.4137931;24.13793103;15.51724138;5.172413793;0.0
2018-02;National;MONTPELLIER;PARIS LYON;206;317;0;;163;8.507157464;4.484490011;;52;34.94166667;6.593953733;;52;6.593953733;25;4;40.90909091;40.90909091;2.272727273;13.63636364;0.0;2.272727273
2018-03;National;MONTPELLIER;PARIS LYON;206;340;8;;120;14.78277778;5.398694779;;40;50.62458333;5.9687751;Accident de personne voie 1bis en sortie de Paris-Gare-de-Lyon.;40;5.9687751;23;8;62.85714286;14.28571429;8.571428571;11.42857143;0.0;2.857142857
2018-03;National;MONTPELLIER;LYON PART DIEU;112;286;14;;83;10.49558233;3.318443627;;45;29.86888889;7.485355392;;32;7.485355392;9;5;31.42857143;28.57142857;14.28571429;22.85714286;0.0;2.857142857
2018-04;National;MONTPELLIER;LYON PART DIEU;112;308;136;;61;12.50628415;4.563275194;;42;35.50753968;10.45920543;;32;10.45920543;16;6;25.0;28.57142857;25.0;10.71428571;10.71428571;0.0
2018-04;National;MONTPELLIER;PARIS LYON;207;451;177;;111;12.89894895;5.283880779;;37;38.65675676;5.044282238;;37;5.044282238;13;8;38.70967742;25.80645161;6.451612903;22.58064516;3.225806452;3.225806452
2018-05;National;MONTPELLIER;PARIS LYON;206;489;146;;73;23.7239726;5.500923226;;68;41.17303922;7.346987366;Heurt d’une personne par le TGV 6608 à Maisons-Alfort.;56;7.346987366;31;12;49.05660377;22.64150943;9.433962264;9.433962264;1.886792453;7.547169811
2018-05;National;MONTPELLIER;LYON PART DIEU;112;330;122;;28;27.03690476;4.155929487;;36;36.80277778;8.248397436;;27;8.248397436;17;6;27.5862069;31.03448276;17.24137931;17.24137931;6.896551724;0.0
2018-06;National;MONTPELLIER;LYON PART DIEU;112;317;115;;41;29.37642276;6.539851485;;46;42.72318841;12.19909241;;35;12.19909241;17;9;19.51219512;39.02439024;14.63414634;12.19512195;7.317073171;7.317073171
2018-06;National;MONTPELLIER;PARIS LYON;206;487;101;;106;25.18852201;7.43380829;;99;43.11666667;12.1447323;arrachement caténaire par le TER 150426 près de Vert de Maisons;79;12.1447323;56;23;27.39726027;32.87671233;23.28767123;13.69863014;0.0;2.739726027
2018-07;National;MONTPELLIER;LYON PART DIEU;115;311;14;;119;15.04593838;6.159876543;;78;35.08098291;11.00937149;•heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’.;57;11.00937149;31;10;25.37313433;14.92537313;28.35820896;20.89552239;7.462686567;2.985074627
2018-07;National;MONTPELLIER;PARIS LYON;207;443;2;;239;14.77524407;8.065684051;;126;49.63386243;16.57486772;•heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’.;126;16.57486772;67;34;23.59550562;30.33707865;25.84269663;11.23595506;2.247191011;6.741573034
2018-08;National;MONTPELLIER;LYON PART DIEU;123;306;2;;138;10.0410628;4.656907895;;63;29.28439153;7.005317982;;45;7.005317982;15;6;13.46153846;21.15384615;23.07692308;21.15384615;5.769230769;15.38461538
2018-08;National;MONTPELLIER;PARIS LYON;206;417;4;;218;13.63004587;7.223002421;;85;46.54490196;10.84128329;•panne du 5180, problème de disjonction, à Aix-en-Provence-TGV. 43 TGV retardés pour 1095 min, 18 TGV de l’axe perdus à 5’.;85;10.84128329;46;18;22.58064516;25.80645161;20.96774194;22.58064516;1.612903226;6.451612903
