Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01;National;PERPIGNAN;PARIS LYON;305;166;0;;54;10.13395062;3.401506024;;36;48.68425926;10.48413655;Dérangement de commutateur sur LN1 vers Tonnerre;36;10.48413655;21;9;20.68965517;41.37931034;10.34482759;27.5862069;0.0;0.0
2018-02;National;PERPIGNAN;PARIS LYON;305;160;0;;59;10.93022599;4.078020833;;31;32.71290323;7.116458333;;31;7.116458333;14;3;52.0;24.0;0.0;20.0;0.0;4.0
2018-03;National;PERPIGNAN;PARIS LYON;305;163;1;;63;8.189417989;3.216769547;;23;59.96304348;8.470884774;Accident de personne voie 1bis en sortie de Paris-Gare-de-Lyon.;23;8.470884774;14;7;57.14285714;14.28571429;14.28571429;14.28571429;0.0;0.0
2018-04;National;PERPIGNAN;PARIS LYON;304;186;86;;50;14.40266667;7.257166667;;24;35.37916667;9.107833333;;24;9.107833333;7;5;33.33333333;27.77777778;11.11111111;22.22222222;0.0;5.555555556
2018-05;National;PERPIGNAN;PARIS LYON;301;203;61;;34;16.87892157;4.735915493;;32;45.64635417;10.43462441;Heurt d’une personne par le TGV 6608 à Maisons-Alfort.;32;10.43462441;18;6;52.38095238;23.80952381;9.523809524;9.523809524;4.761904762;0.0
2018-06;National;PERPIGNAN;PARIS LYON;301;218;58;;51;21.00065359;7.3009375;;53;49.86949686;18.5884375;bâche flottante sur un train de fret vers Agde.;53;18.5884375;39;15;50.0;30.0;13.33333333;3.333333333;0.0;3.333333333
2018-07;National;PERPIGNAN;PARIS LYON;305;276;0;;141;11.31193853;5.790519324;;101;50.58432343;20.78140097;heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’.;101;20.78140097;53;28;21.875;32.8125;28.125;9.375;1.5625;6.25
2018-08;National;PERPIGNAN;PARIS LYON;304;262;3;;128;12.77981771;6.2998713;;57;51.46725146;13.04414414;•heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’.;57;13.04414414;35;14;23.52941176;26.47058824;20.58823529;17.64705882;2.941176471;8.823529412
2018-09;National;PERPIGNAN;PARIS LYON;303;158;0;;57;10.52836257;3.833860759;;25;62.77333333;10.12489451;Accident de personne à chevry, restitution tardive tx Heyrieux, déraillement bourreuse à Vénissieux, incendie sous station de manduel;25;10.12489451;18;8;33.33333333;29.16666667;16.66666667;16.66666667;0.0;4.166666667
2018-10;National;PERPIGNAN;PARIS LYON;302;156;11;;51;9.183660131;3.300114943;;26;80.69294872;15.91390805;2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud;26;15.91390805;19;11;34.61538462;50.0;7.692307692;7.692307692;0.0;0.0
2018-11;National;PERPIGNAN;PARIS LYON;302;153;0;;57;8.35994152;3.152832244;;39;39.2474359;11.44433551;;39;11.44433551;22;8;56.41025641;23.07692308;12.82051282;5.128205128;2.564102564;0.0
2018-12;National;PERPIGNAN;PARIS LYON;303;161;1;;41;8.360569106;2.246666667;;18;39.23981481;4.584583333;;18;4.584583333;12;3;50.0;5.555555556;27.77777778;5.555555556;5.555555556;5.555555556
2019-01;National;PERPIGNAN;PARIS LYON;303;159;3;;38;8.560087719;2.163675214;;15;54.12;4.664102564;Neiges;15;4.664102564;10;5;66.66666667;20.0;6.666666667;6.666666667;0.0;0.0
2019-02;National;PERPIGNAN;PARIS LYON;303;144;0;;47;8.164893617;2.737268519;;17;69.13431373;7.490740741;Accidents de personne;17;7.490740741;10;5;11.76470588;41.17647059;23.52941176;11.76470588;5.882352941;5.882352941
2019-03;National;PERPIGNAN;PARIS LYON;303;160;0;;40;7.2;1.843020833;;14;56.25357143;4.112916667;Incendie motrice à cluny, colis suspect à Valence TGV, chute d'arbre vers Vaumort;14;4.112916667;5;4;21.42857143;28.57142857;28.57142857;14.28571429;7.142857143;0.0
2019-04;National;PERPIGNAN;PARIS LYON;304;145;0;;25;5.458;1.094712644;;10;37.28666667;1.177586207;;10;1.177586207;4;1;55.55555556;11.11111111;22.22222222;11.11111111;0.0;0.0
2019-05;National;PERPIGNAN;PARIS LYON;303;156;0;;109;3.495107034;2.387820513;;20;42.69;4.923504274;Heurt de personnes à Vianges, Heurt animal Cuy, heurt chevreuil Lacour d'arcenay, dérangement Yerres, disjonction cluny, Fort impact sur LN1 tronçon central;20;42.69;9;3;40.0;15.0;30.0;15.0;0.0;0.0
2019-06;National;PERPIGNAN;PARIS LYON;303;158;0;;111;5.704054054;3.942510549;;27;59.18518519;9.800843882;Heurt d'une personne à Paris Bercy, limitation vitesse 6909 sur LN1, dérangement vers Montanay accès LN1, heurt de personne à Maisons Alfort, Dérangement d'installation vers Macon;27;59.18518519;18;6;44.44444444;18.51851852;22.22222222;3.703703704;11.11111111;0.0
2019-07;National;PERPIGNAN;PARIS LYON;306;321;126;;132;9.453409091;6.318461538;;53;47.50880503;13.18811966;;53;47.50880503;33;11;28.84615385;25.0;26.92307692;9.615384615;5.769230769;3.846153846
2019-08;National;PERPIGNAN;PARIS LYON;306;208;12;;130;9.822179487;6.420833333;;57;43.18421053;12.74710884;;57;43.18421053;26;7;36.84210526;22.80701754;15.78947368;5.263157895;15.78947368;3.50877193
2019-09;National;PERPIGNAN;PARIS LYON;304;160;0;;114;4.419005848;2.892083333;;13;47.23846154;4.732291667;;13;47.23846154;10;4;15.38461538;53.84615385;7.692307692;23.07692308;0.0;0.0
2019-10;National;PERPIGNAN;PARIS LYON;304;119;8;;73;9.65913242;6.289489489;;23;60.60797101;14.63123123;;23;60.60797101;17;10;40.90909091;27.27272727;22.72727273;0.0;0.0;9.090909091
2019-11;National;PERPIGNAN;PARIS LYON;303;41;10;;19;2.460526316;1.412365591;;4;32.44166667;3.985483871;;4;32.44166667;2;0;25.0;50.0;25.0;0.0;0.0;0.0
2019-12;National;PERPIGNAN;PARIS LYON;314;71;14;;40;7.075416667;3.62251462;;7;45.16904762;5.253508772;;7;45.16904762;3;2;0.0;42.85714286;42.85714286;0.0;14.28571429;0.0
2020-01;National;PERPIGNAN;PARIS LYON;312;132;7;;69;8.59057971;4.021866667;;19;61.7245614;9.561733333;;19;61.7245614;11;8;36.84210526;10.52631579;21.05263158;21.05263158;5.263157895;5.263157895
2020-02;National;PERPIGNAN;PARIS LYON;311;162;0;;80;2.863333333;1.258333333;;16;36.78333333;4.356378601;;16;36.78333333;8;2;31.25;31.25;12.5;6.25;6.25;12.5
2020-03;National;PERPIGNAN;PARIS LYON;311;110;9;;39;3.066666667;0.9669967;;11;28.12121212;3.595049505;;11;28.12121212;3;1;63.63636364;0.0;27.27272727;0.0;0.0;9.090909091
2020-04;National;PERPIGNAN;PARIS LYON;0;0;10;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05;National;PERPIGNAN;PARIS LYON;316;32;14;;9;5.066666667;2.397222222;;1;18.16666667;0.802777778;;1;18.16666667;0;0;100.0;0.0;0.0;0.0;0.0;0.0
2020-06;National;PERPIGNAN;PARIS LYON;315;79;11;;21;3.999206349;1.010294118;;11;44.27727273;8.150980392;;11;44.27727273;7;3;50.0;50.0;0.0;0.0;0.0;0.0
2020-07;National;PERPIGNAN;PARIS LYON;313;215;5;;96;4.310763889;0.517380952;;35;39.04809524;7.959920635;;35;39.04809524;19;6;28.57142857;20.0;25.71428571;20.0;5.714285714;0.0
2020-08;National;PERPIGNAN;PARIS LYON;315;220;2;;104;4.409134615;1.20412844;;32;36.93385417;7.88058104;;36;42.01813725;19;5;31.25;28.125;15.625;9.375;9.375;6.25
2020-09;National;PERPIGNAN;PARIS LYON;312;178;1;;80;3.486458333;1.375141243;;13;34.35384615;3.322787194;;13;34.35384615;3;1;53.84615385;30.76923077;7.692307692;0.0;7.692307692;0.0
2020-10;National;PERPIGNAN;PARIS LYON;310;142;2;;65;5.891025641;2.56;;29;47.00344828;11.13452381;;29;47.00344828;17;5;34.48275862;10.34482759;24.13793103;27.5862069;3.448275862;0.0
