Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-07;HENDAYE;TOULOUSE-MATABIAU;124;122;2;14;88.52459016393442;7.714285714285714
2025-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;84;84;0;10;88.09523809523809;7.4
2025-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;30;1;0;100.0;0.0
2025-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;83;81;2;12;85.18518518518519;5.75
2025-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;23;23;0;5;78.26086956521739;3.6
2025-06;HENDAYE;TOULOUSE-MATABIAU;120;120;0;23;80.83333333333333;4.217391304347826
2025-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;20;19;1;2;89.47368421052632;8.5
2025-05;HENDAYE;TOULOUSE-MATABIAU;124;124;0;32;74.19354838709677;2.875
2025-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;74;74;0;11;85.13513513513513;5.727272727272728
2025-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;80;80;0;16;80.0;4.0
2025-04;HENDAYE;TOULOUSE-MATABIAU;120;119;1;6;94.9579831932773;18.83333333333333
2025-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;22;22;0;2;90.9090909090909;10.0
2025-03;HENDAYE;TOULOUSE-MATABIAU;109;108;1;10;90.74074074074076;9.8
2025-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;88;88;0;9;89.77272727272727;8.777777777777779
2025-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;28;0;3;89.28571428571429;8.333333333333334
2025-02;HENDAYE;TOULOUSE-MATABIAU;107;107;0;9;91.58878504672896;10.88888888888889
2025-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;28;0;4;85.71428571428571;6.0
2025-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;79;79;0;13;83.54430379746836;5.076923076923077
2025-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;86;86;0;13;84.88372093023256;5.615384615384615
2025-01;HENDAYE;TOULOUSE-MATABIAU;122;122;0;19;84.42622950819673;5.421052631578948
2025-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;30;1;4;86.66666666666667;6.5
2024-12;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;82;82;0;10;87.8048780487805;7.2
2024-12;HENDAYE;TOULOUSE-MATABIAU;78;78;0;9;88.46153846153845;7.666666666666667
2024-12;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;27;27;0;2;92.5925925925926;12.5
2024-11;HENDAYE;TOULOUSE-MATABIAU;73;71;2;37;47.88732394366197;0.918918918918919
2024-11;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;78;78;0;19;75.64102564102564;3.1052631578947367
2024-11;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;24;24;0;3;87.5;7.0
2024-10;HENDAYE;TOULOUSE-MATABIAU;120;119;1;21;82.35294117647058;4.666666666666667
2024-10;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;27;1;0;100.0;0.0
2024-10;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;84;83;1;9;89.1566265060241;8.222222222222221
2024-09;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;29;29;0;1;96.55172413793105;28.0
2024-09;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;10;88.23529411764706;7.5
2024-09;HENDAYE;TOULOUSE-MATABIAU;120;117;3;10;91.45299145299144;10.7
2024-08;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;89;89;0;10;88.76404494382022;7.9
2024-08;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;31;0;0;100.0;0.0
2024-08;HENDAYE;TOULOUSE-MATABIAU;124;124;0;10;91.93548387096774;11.4
2024-07;HENDAYE;TOULOUSE-MATABIAU;124;123;1;17;86.1788617886179;6.235294117647059
2024-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;89;89;0;7;92.13483146067416;11.714285714285714
2024-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;31;0;4;87.09677419354838;6.75
2024-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;5;94.11764705882352;16.0
2024-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;30;30;0;2;93.33333333333331;14.0
2024-06;HENDAYE;TOULOUSE-MATABIAU;120;119;1;13;89.07563025210085;8.153846153846153
2024-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;72;72;0;12;83.33333333333334;5.0
2024-05;HENDAYE;TOULOUSE-MATABIAU;100;100;0;10;90.0;9.0
2024-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;24;24;0;0;100.0;0.0
2024-04;HENDAYE;TOULOUSE-MATABIAU;120;119;1;10;91.5966386554622;10.9
2024-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;84;84;0;6;92.85714285714286;13.0
2024-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;30;30;0;1;96.66666666666669;29.0
2024-03;HENDAYE;TOULOUSE-MATABIAU;110;110;0;10;90.9090909090909;10.0
2024-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;11;87.05882352941177;6.727272727272728
2024-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;29;29;0;0;100.0;0.0
2024-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;77;77;0;8;89.6103896103896;8.625
2024-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;29;29;0;1;96.55172413793105;28.0
2024-02;HENDAYE;TOULOUSE-MATABIAU;111;109;2;19;82.56880733944955;4.7368421052631575
2024-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;88;88;0;11;87.5;7.0
2024-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;31;0;1;96.7741935483871;30.0
2024-01;HENDAYE;TOULOUSE-MATABIAU;118;116;2;11;90.51724137931036;9.545454545454543
2023-12;HENDAYE;TOULOUSE-MATABIAU;94;94;0;11;88.29787234042553;7.545454545454546
2023-12;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;27;1;1;96.29629629629628;26.0
2023-12;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;15;82.35294117647058;4.666666666666667
2023-11;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;27;26;1;3;88.46153846153845;7.666666666666667
2023-11;HENDAYE;TOULOUSE-MATABIAU;114;112;2;22;80.35714285714286;4.090909090909091
2023-11;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;80;80;0;18;77.5;3.4444444444444446
2023-10;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;87;87;0;17;80.45977011494253;4.117647058823529
2023-10;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;29;29;0;3;89.65517241379311;8.666666666666666
2023-10;HENDAYE;TOULOUSE-MATABIAU;120;118;2;10;91.52542372881356;10.8
2023-09;HENDAYE;TOULOUSE-MATABIAU;119;117;2;14;88.03418803418803;7.357142857142857
2023-09;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;86;86;0;14;83.72093023255815;5.142857142857143
2023-09;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;27;27;0;0;100.0;0.0
2023-08;HENDAYE;TOULOUSE-MATABIAU;124;124;0;23;81.45161290322581;4.391304347826087
2023-08;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;16;81.17647058823529;4.3125
2023-08;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;31;0;1;96.7741935483871;30.0
2023-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;31;0;1;96.7741935483871;30.0
2023-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;88;88;0;16;81.81818181818183;4.5
2023-07;HENDAYE;TOULOUSE-MATABIAU;123;121;2;3;97.5206611570248;39.333333333333336
2023-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;28;0;1;96.42857142857144;27.0
2023-06;HENDAYE;TOULOUSE-MATABIAU;117;117;0;25;78.63247863247864;3.68
2023-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;18;78.82352941176471;3.7222222222222223
2023-05;HENDAYE;TOULOUSE-MATABIAU;120;120;0;13;89.16666666666667;8.23076923076923
2023-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;69;69;0;21;69.56521739130434;2.2857142857142856
2023-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;24;24;0;1;95.83333333333334;23.0
2023-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;72;72;0;8;88.88888888888889;8.0
2023-04;HENDAYE;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2023-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;22;22;0;0;100.0;0.0
2023-03;HENDAYE;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2023-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;50;50;0;7;86.0;6.142857142857143
2023-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;1;1;0;0;100.0;0.0
2023-02;HENDAYE;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2023-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2023-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;72;70;2;8;88.57142857142857;7.75
2023-01;HENDAYE;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2023-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;76;76;0;9;88.1578947368421;7.444444444444445
2023-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2022-12;HENDAYE;TOULOUSE-MATABIAU;0;0;0;0;0.0;0.0
2022-12;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;77;72;5;22;69.44444444444444;2.272727272727273
