Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-07;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2025-06;CLERMONT-FERRAND;BÉZIERS;30;30;0;4;86.66666666666667;6.5
2025-05;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2025-04;CLERMONT-FERRAND;BÉZIERS;30;30;0;2;93.33333333333331;14.0
2025-03;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2025-02;CLERMONT-FERRAND;BÉZIERS;28;28;0;2;92.85714285714286;13.0
2025-01;CLERMONT-FERRAND;BÉZIERS;31;31;0;0;100.0;0.0
2024-12;CLERMONT-FERRAND;BÉZIERS;29;29;0;1;96.55172413793105;28.0
2024-11;CLERMONT-FERRAND;BÉZIERS;29;29;0;2;93.10344827586206;13.5
2024-10;CLERMONT-FERRAND;BÉZIERS;60;57;3;2;96.49122807017544;27.5
2024-09;CLERMONT-FERRAND;BÉZIERS;59;59;0;3;94.91525423728814;18.666666666666668
2024-08;CLERMONT-FERRAND;BÉZIERS;62;62;0;1;98.38709677419357;61.0
2024-07;CLERMONT-FERRAND;BÉZIERS;62;62;0;5;91.93548387096774;11.4
2024-06;CLERMONT-FERRAND;BÉZIERS;32;32;0;0;100.0;0.0
2024-05;CLERMONT-FERRAND;BÉZIERS;36;35;1;0;100.0;0.0
2024-04;CLERMONT-FERRAND;BÉZIERS;55;55;0;2;96.36363636363636;26.5
2024-03;CLERMONT-FERRAND;BÉZIERS;57;55;2;2;96.36363636363636;26.5
2024-02;CLERMONT-FERRAND;BÉZIERS;29;29;0;0;100.0;0.0
2024-01;CLERMONT-FERRAND;BÉZIERS;30;30;0;3;90.0;9.0
2023-12;CLERMONT-FERRAND;BÉZIERS;31;31;0;0;100.0;0.0
2023-11;CLERMONT-FERRAND;BÉZIERS;30;30;0;1;96.66666666666669;29.0
2023-10;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2023-09;CLERMONT-FERRAND;BÉZIERS;30;30;0;3;90.0;9.0
2023-08;CLERMONT-FERRAND;BÉZIERS;31;31;0;4;87.09677419354838;6.75
2023-07;CLERMONT-FERRAND;BÉZIERS;31;31;0;2;93.5483870967742;14.5
2023-06;CLERMONT-FERRAND;BÉZIERS;51;51;0;3;94.11764705882352;16.0
2023-05;CLERMONT-FERRAND;BÉZIERS;33;32;1;1;96.875;31.0
2023-04;CLERMONT-FERRAND;BÉZIERS;28;28;0;2;92.85714285714286;13.0
2023-03;CLERMONT-FERRAND;BÉZIERS;23;23;0;1;95.65217391304348;22.0
2023-02;CLERMONT-FERRAND;BÉZIERS;25;25;0;3;88.0;7.333333333333333
2023-01;CLERMONT-FERRAND;BÉZIERS;29;29;0;2;93.10344827586206;13.5
2022-12;CLERMONT-FERRAND;BÉZIERS;31;31;0;0;100.0;0.0
2022-11;CLERMONT-FERRAND;BÉZIERS;30;30;0;3;90.0;9.0
2022-10;CLERMONT-FERRAND;BÉZIERS;30;30;0;2;93.33333333333331;14.0
2022-09;CLERMONT-FERRAND;BÉZIERS;37;36;1;0;100.0;0.0
2022-08;CLERMONT-FERRAND;BÉZIERS;19;19;0;1;94.73684210526316;18.0
2022-07;CLERMONT-FERRAND;BÉZIERS;12;12;0;2;83.33333333333334;5.0
2022-06;CLERMONT-FERRAND;BÉZIERS;50;48;2;4;91.66666666666666;11.0
2022-05;CLERMONT-FERRAND;BÉZIERS;49;48;1;6;87.5;7.0
2022-04;CLERMONT-FERRAND;BÉZIERS;30;30;0;2;93.33333333333331;14.0
2022-03;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2022-02;CLERMONT-FERRAND;BÉZIERS;28;28;0;2;92.85714285714286;13.0
2022-01;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2021-12;CLERMONT-FERRAND;BÉZIERS;31;31;0;3;90.32258064516128;9.333333333333334
2021-11;CLERMONT-FERRAND;BÉZIERS;41;41;0;3;92.6829268292683;12.666666666666666
2021-10;CLERMONT-FERRAND;BÉZIERS;62;62;0;1;98.38709677419357;61.0
2021-09;CLERMONT-FERRAND;BÉZIERS;43;43;0;1;97.67441860465117;42.0
2021-08;CLERMONT-FERRAND;BÉZIERS;31;31;0;0;100.0;0.0
2021-07;CLERMONT-FERRAND;BÉZIERS;34;34;0;3;91.17647058823528;10.333333333333334
2021-06;CLERMONT-FERRAND;BÉZIERS;60;57;3;1;98.24561403508773;56.0
2021-05;CLERMONT-FERRAND;BÉZIERS;62;61;1;2;96.72131147540983;29.5
2021-04;CLERMONT-FERRAND;BÉZIERS;60;60;0;0;100.0;0.0
2021-03;CLERMONT-FERRAND;BÉZIERS;62;61;1;1;98.36065573770492;60.0
2021-02;CLERMONT-FERRAND;BÉZIERS;56;56;0;2;96.42857142857144;27.0
2021-01;CLERMONT-FERRAND;BÉZIERS;35;35;0;1;97.14285714285714;34.0
2020-12;CLERMONT-FERRAND;BÉZIERS;37;37;0;8;78.37837837837837;3.625
2020-11;CLERMONT-FERRAND;BÉZIERS;30;28;2;1;96.42857142857144;27.0
2020-10;CLERMONT-FERRAND;BÉZIERS;31;30;1;2;93.33333333333331;14.0
2020-09;CLERMONT-FERRAND;BÉZIERS;30;30;0;0;100.0;0.0
2020-08;CLERMONT-FERRAND;BÉZIERS;31;31;0;3;90.32258064516128;9.333333333333334
2020-07;CLERMONT-FERRAND;BÉZIERS;30;30;0;3;90.0;9.0
2020-06;CLERMONT-FERRAND;BÉZIERS;30;29;1;3;89.65517241379311;8.666666666666673
2020-05;CLERMONT-FERRAND;BÉZIERS;16;16;0;1;93.75;15.0
2020-03;CLERMONT-FERRAND;BÉZIERS;22;22;0;0;100.0;22.0
2020-02;CLERMONT-FERRAND;BÉZIERS;29;29;0;3;89.65517241379311;8.666666666666673
2020-01;CLERMONT-FERRAND;BÉZIERS;29;29;0;1;96.55172413793105;27.99999999999998
2019-12;CLERMONT-FERRAND;BÉZIERS;10;9;1;2;77.77777777777777;3.4999999999999987
2019-11;CLERMONT-FERRAND;BÉZIERS;30;29;1;8;72.41379310344827;2.624999999999999
2019-10;CLERMONT-FERRAND;BÉZIERS;31;26;5;2;92.3076923076923;11.999999999999998
2019-09;CLERMONT-FERRAND;BÉZIERS;29;28;1;4;85.71428571428571;5.999999999999997
2019-08;CLERMONT-FERRAND;BÉZIERS;28;28;0;2;92.85714285714286;13.000000000000009
2019-07;CLERMONT-FERRAND;BÉZIERS;32;32;0;2;93.75;15.0
2019-06;CLERMONT-FERRAND;BÉZIERS;48;47;1;11;76.59574468085107;3.272727272727274
2019-05;CLERMONT-FERRAND;BÉZIERS;40;38;2;1;97.36842105263158;37.0
2019-04;CLERMONT-FERRAND;BÉZIERS;54;54;0;0;100.0;0.0
2019-03;CLERMONT-FERRAND;BÉZIERS;61;61;0;5;91.8032786885246;11.2
2019-02;CLERMONT-FERRAND;BÉZIERS;55;53;2;2;96.22641509433964;25.5
2019-01;CLERMONT-FERRAND;BÉZIERS;57;57;0;1;98.24561403508773;56.0
2018-12;CLERMONT-FERRAND;BÉZIERS;41;38;3;2;94.73684210526316;18.0
2018-11;CLERMONT-FERRAND;BÉZIERS;64;61;3;12;80.32786885245902;4.083333333333333
2018-10;CLERMONT-FERRAND;BÉZIERS;62;60;2;9;85.0;5.666666666666667
2018-09;CLERMONT-FERRAND;BÉZIERS;60;60;0;6;90.0;9.0
2018-08;CLERMONT-FERRAND;BÉZIERS;36;36;0;3;91.66666666666669;11.0
2018-07;CLERMONT-FERRAND;BÉZIERS;54;54;0;7;87.03703703703704;6.714285714285714
2018-06;CLERMONT-FERRAND;BÉZIERS;36;36;0;4;88.88888888888889;8.0
2018-05;CLERMONT-FERRAND;BÉZIERS;36;35;1;0;100.0;0.0
2018-04;CLERMONT-FERRAND;BÉZIERS;26;25;1;4;84.0;5.25
2018-03;CLERMONT-FERRAND;BÉZIERS;63;60;3;4;93.33333333333331;14.0
2018-02;CLERMONT-FERRAND;BÉZIERS;56;56;0;6;89.28571428571429;8.333333333333334
2018-01;CLERMONT-FERRAND;BÉZIERS;62;60;2;5;91.66666666666669;11.0
2017-12;CLERMONT-FERRAND;BÉZIERS;63;61;2;8;86.88524590163934;6.625
2017-11;CLERMONT-FERRAND;BÉZIERS;59;58;1;3;94.82758620689656;18.33333333333333
2017-10;CLERMONT-FERRAND;BÉZIERS;59;59;0;6;89.83050847457628;8.833333333333334
2017-09;CLERMONT-FERRAND;BÉZIERS;57;57;0;1;98.24561403508773;56.0
2017-08;CLERMONT-FERRAND;BÉZIERS;62;61;1;5;91.8032786885246;11.2
2017-07;CLERMONT-FERRAND;BÉZIERS;63;62;1;4;93.5483870967742;14.5
2017-06;CLERMONT-FERRAND;BÉZIERS;60;60;0;2;96.66666666666669;29.0
2017-05;CLERMONT-FERRAND;BÉZIERS;61;61;0;2;96.72131147540983;29.5
2017-04;CLERMONT-FERRAND;BÉZIERS;59;59;0;2;96.61016949152544;28.5
