Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2017-12;CLERMONT-FERRAND;NÎMES;31;30;1;3;90.0;9.0
2017-11;CLERMONT-FERRAND;NÎMES;29;28;1;0;100.0;0.0
2017-10;CLERMONT-FERRAND;NÎMES;30;30;0;0;100.0;0.0
2017-09;CLERMONT-FERRAND;NÎMES;28;28;0;1;96.42857142857144;27.0
2017-08;CLERMONT-FERRAND;NÎMES;31;31;0;8;74.19354838709677;2.875
2017-07;CLERMONT-FERRAND;NÎMES;31;31;0;8;74.19354838709677;2.875
2017-06;CLERMONT-FERRAND;NÎMES;0;0;0;0;0.0;0.0
2017-05;CLERMONT-FERRAND;NÎMES;0;0;0;0;0.0;0.0
2017-04;CLERMONT-FERRAND;NÎMES;30;30;0;0;100.0;0.0
2017-03;CLERMONT-FERRAND;NÎMES;31;30;1;1;96.66666666666669;29.0
2017-02;CLERMONT-FERRAND;NÎMES;28;27;1;1;96.29629629629628;26.0
2017-01;CLERMONT-FERRAND;NÎMES;33;31;2;4;87.09677419354838;6.75
2016-12;CLERMONT-FERRAND;NÎMES;31;31;0;0;100.0;0.0
2016-11;CLERMONT-FERRAND;NÎMES;30;30;0;1;96.66666666666669;29.0
2016-10;CLERMONT-FERRAND;NÎMES;31;31;0;3;90.3225806451613;9.333333333333334
2016-09;CLERMONT-FERRAND;NÎMES;30;30;0;1;96.66666666666669;29.0
2016-08;CLERMONT-FERRAND;NÎMES;19;19;0;2;89.47368421052632;8.5
2016-07;CLERMONT-FERRAND;NÎMES;30;29;1;3;89.65517241379311;8.666666666666666
2016-06;CLERMONT-FERRAND;NÎMES;10;10;0;1;90.0;9.0
2016-05;CLERMONT-FERRAND;NÎMES;27;27;0;0;100.0;0.0
2016-04;CLERMONT-FERRAND;NÎMES;29;29;0;0;100.0;0.0
2016-03;CLERMONT-FERRAND;NÎMES;29;28;1;0;100.0;0.0
2016-02;CLERMONT-FERRAND;NÎMES;29;29;0;1;96.55172413793105;28.0
2016-01;CLERMONT-FERRAND;NÎMES;31;31;0;0;100.0;0.0
2015-12;CLERMONT-FERRAND;NÎMES;14;14;0;0;100.0;0.0
2015-11;CLERMONT-FERRAND;NÎMES;0;0;0;0;0.0;0.0
2015-10;CLERMONT-FERRAND;NÎMES;0;0;0;0;0.0;0.0
2015-09;CLERMONT-FERRAND;NÎMES;26;26;0;2;92.3076923076923;12.0
2015-08;CLERMONT-FERRAND;NÎMES;30;27;3;3;88.88888888888889;8.0
2015-07;CLERMONT-FERRAND;NÎMES;0;0;0;0;0.0;0.0
2015-06;CLERMONT-FERRAND;NÎMES;0;0;0;0;0.0;0.0
2015-05;CLERMONT-FERRAND;NÎMES;48;48;0;3;93.75;15.0
2015-04;CLERMONT-FERRAND;NÎMES;35;33;2;1;96.96969696969695;32.0
2015-03;CLERMONT-FERRAND;NÎMES;32;31;1;0;100.0;0.0
2015-02;CLERMONT-FERRAND;NÎMES;77;55;22;3;94.54545454545456;17.333333333333332
2015-01;CLERMONT-FERRAND;NÎMES;40;39;1;1;97.43589743589745;38.0
2014-12;CLERMONT-FERRAND;NÎMES;33;30;3;5;83.33333333333333;5.0
2014-11;CLERMONT-FERRAND;NÎMES;30;30;0;0;100.0;0.0
2014-10;CLERMONT-FERRAND;NÎMES;35;26;9;8;69.23076923076923;2.25
2014-09;CLERMONT-FERRAND;NÎMES;28;26;2;0;100.0;0.0
2014-08;CLERMONT-FERRAND;NÎMES;31;31;0;3;90.3225806451613;9.333333333333334
2014-07;CLERMONT-FERRAND;NÎMES;32;31;1;4;87.09677419354838;6.75
2014-06;CLERMONT-FERRAND;NÎMES;20;20;0;1;95.0;19.0
2014-05;CLERMONT-FERRAND;NÎMES;250;249;1;23;90.8;9.8
2014-04;CLERMONT-FERRAND;NÎMES;30;30;0;3;90.0;9.0
2014-03;CLERMONT-FERRAND;NÎMES;31;31;0;2;93.5;14.5
2014-02;CLERMONT-FERRAND;NÎMES;28;28;0;2;92.9;13.0
2014-01;CLERMONT-FERRAND;NÎMES;32;31;1;2;93.5;14.5
