Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-07;PARIS-AUSTERLITZ;TARBES;23;23;0;3;86.95652173913044;6.666666666666667
2025-06;PARIS-AUSTERLITZ;TARBES;19;19;0;3;84.21052631578947;5.333333333333333
2025-05;PARIS-AUSTERLITZ;TARBES;18;18;0;1;94.44444444444444;17.0
2025-04;PARIS-AUSTERLITZ;TARBES;19;19;0;1;94.73684210526316;18.0
2025-03;PARIS-AUSTERLITZ;TARBES;21;21;0;3;85.71428571428571;6.0
2025-02;PARIS-AUSTERLITZ;TARBES;8;8;0;2;75.0;3.0
2025-01;PARIS-AUSTERLITZ;TARBES;15;15;0;5;66.66666666666666;2.0
2024-12;PARIS-AUSTERLITZ;TARBES;18;18;0;3;83.33333333333334;5.0
2024-11;PARIS-AUSTERLITZ;TARBES;19;19;0;6;68.42105263157895;2.1666666666666665
2024-10;PARIS-AUSTERLITZ;TARBES;22;22;0;5;77.27272727272727;3.4
2024-09;PARIS-AUSTERLITZ;TARBES;20;20;0;1;95.0;19.0
2024-08;PARIS-AUSTERLITZ;TARBES;27;27;0;4;85.18518518518519;5.75
2024-07;PARIS-AUSTERLITZ;TARBES;26;26;0;2;92.3076923076923;12.0
2024-06;PARIS-AUSTERLITZ;TARBES;20;20;0;3;85.0;5.666666666666667
2024-05;PARIS-AUSTERLITZ;TARBES;19;19;0;4;78.94736842105263;3.75
2024-04;PARIS-AUSTERLITZ;TARBES;21;21;0;1;95.23809523809524;20.0
2024-03;PARIS-AUSTERLITZ;TARBES;12;12;0;0;100.0;0.0
2024-02;PARIS-AUSTERLITZ;TARBES;20;20;0;3;85.0;5.666666666666667
2024-01;PARIS-AUSTERLITZ;TARBES;19;19;0;3;84.21052631578947;5.333333333333333
2023-12;PARIS-AUSTERLITZ;TARBES;6;6;0;2;66.66666666666666;2.0
