Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-07;PARIS-AUSTERLITZ;CERBERE;28;28;0;9;67.85714285714286;2.111111111111111
2025-06;PARIS-AUSTERLITZ;CERBERE;9;8;1;1;87.5;7.0
2025-05;PARIS-AUSTERLITZ;CERBERE;8;8;0;1;87.5;7.0
2025-04;PARIS-AUSTERLITZ;CERBERE;15;15;0;1;93.33333333333331;14.0
2025-03;PARIS-AUSTERLITZ;CERBERE;8;8;0;0;100.0;0.0
2025-02;PARIS-AUSTERLITZ;CERBERE;18;18;0;4;77.77777777777779;3.5
2025-01;PARIS-AUSTERLITZ;CERBERE;12;12;0;0;100.0;0.0
2024-12;PARIS-AUSTERLITZ;CERBERE;15;15;0;0;100.0;0.0
2024-11;PARIS-AUSTERLITZ;CERBERE;7;7;0;1;85.71428571428571;6.0
2024-10;PARIS-AUSTERLITZ;CERBERE;11;11;0;2;81.81818181818183;4.5
2024-09;PARIS-AUSTERLITZ;CERBERE;7;7;0;0;100.0;0.0
2024-08;PARIS-AUSTERLITZ;CERBERE;31;31;0;5;83.87096774193549;5.2
2024-07;PARIS-AUSTERLITZ;CERBERE;27;27;0;3;88.88888888888889;8.0
2024-06;PARIS-AUSTERLITZ;CERBERE;9;9;0;1;88.88888888888889;8.0
2024-05;PARIS-AUSTERLITZ;CERBERE;7;7;0;0;100.0;0.0
2024-04;PARIS-AUSTERLITZ;CERBERE;16;16;0;2;87.5;7.0
2024-03;PARIS-AUSTERLITZ;CERBERE;6;6;0;1;83.33333333333334;5.0
2024-02;PARIS-AUSTERLITZ;CERBERE;15;15;0;3;80.0;4.0
2024-01;PARIS-AUSTERLITZ;CERBERE;12;12;0;1;91.66666666666666;11.0
2023-12;PARIS-AUSTERLITZ;CERBERE;13;13;0;2;84.61538461538461;5.5
2023-11;PARIS-AUSTERLITZ;CERBERE;5;4;1;1;75.0;3.0
2023-10;PARIS-AUSTERLITZ;CERBERE;11;11;0;1;90.9090909090909;10.0
2023-09;PARIS-AUSTERLITZ;CERBERE;10;10;0;0;100.0;0.0
2023-08;PARIS-AUSTERLITZ;CERBERE;31;31;0;1;96.7741935483871;30.0
2023-07;PARIS-AUSTERLITZ;CERBERE;26;26;0;2;92.3076923076923;12.0
2023-06;PARIS-AUSTERLITZ;CERBERE;9;9;0;2;77.77777777777779;3.5
2023-05;PARIS-AUSTERLITZ;CERBERE;12;12;0;1;91.66666666666666;11.0
2023-04;PARIS-AUSTERLITZ;CERBERE;15;15;0;1;93.33333333333331;14.0
2023-03;PARIS-AUSTERLITZ;CERBERE;7;7;0;0;100.0;0.0
2023-02;PARIS-AUSTERLITZ;CERBERE;23;23;0;1;95.65217391304348;22.0
2023-01;PARIS-AUSTERLITZ;CERBERE;27;27;0;1;96.29629629629628;26.0
2022-12;PARIS-AUSTERLITZ;CERBERE;17;16;1;3;81.25;4.333333333333333
2022-11;PARIS-AUSTERLITZ;CERBERE;9;9;0;2;77.77777777777779;3.5
2022-10;PARIS-AUSTERLITZ;CERBERE;14;14;0;0;100.0;0.0
2022-09;PARIS-AUSTERLITZ;CERBERE;9;9;0;0;100.0;0.0
2022-08;PARIS-AUSTERLITZ;CERBERE;28;28;0;3;89.28571428571429;8.333333333333334
2022-07;PARIS-AUSTERLITZ;CERBERE;29;28;1;2;92.85714285714286;13.0
2022-06;PARIS-AUSTERLITZ;CERBERE;7;7;0;2;71.42857142857143;2.5
2022-05;PARIS-AUSTERLITZ;CERBERE;10;10;0;0;100.0;0.0
2022-04;PARIS-AUSTERLITZ;CERBERE;12;12;0;0;100.0;0.0
2022-03;PARIS-AUSTERLITZ;CERBERE;12;12;0;3;75.0;3.0
2022-02;PARIS-AUSTERLITZ;CERBERE;14;14;0;2;85.71428571428571;6.0
2022-01;PARIS-AUSTERLITZ;CERBERE;9;9;0;4;55.55555555555556;1.25
2017-12;PARIS-AUSTERLITZ;CERBERE;13;13;0;1;92.3076923076923;12.0
2017-11;PARIS-AUSTERLITZ;CERBERE;11;10;1;1;90.0;9.0
2017-10;PARIS-AUSTERLITZ;CERBERE;16;16;0;2;87.5;7.0
2017-09;PARIS-AUSTERLITZ;CERBERE;10;10;0;1;90.0;9.0
2017-08;PARIS-AUSTERLITZ;CERBERE;31;31;0;1;96.7741935483871;30.0
2017-07;PARIS-AUSTERLITZ;CERBERE;25;24;1;18;25.0;0.3333333333333333
2017-06;PARIS-AUSTERLITZ;CERBERE;0;0;0;0;0.0;0.0
2017-05;PARIS-AUSTERLITZ;CERBERE;0;0;0;0;0.0;0.0
2017-03;PARIS-AUSTERLITZ;CERBERE;29;28;1;3;89.28571428571429;8.333333333333334
2017-01;PARIS-AUSTERLITZ;CERBERE;30;27;3;4;85.18518518518519;5.75
2016-12;PARIS-AUSTERLITZ;CERBERE;36;33;3;0;100.0;0.0
2016-11;PARIS-AUSTERLITZ;CERBERE;58;53;5;9;83.01886792452831;4.888888888888889
2016-10;PARIS-AUSTERLITZ;CERBERE;56;53;3;5;90.56603773584904;9.6
2016-09;PARIS-AUSTERLITZ;CERBERE;48;46;2;6;86.95652173913044;6.666666666666667
2016-08;PARIS-AUSTERLITZ;CERBERE;26;22;4;2;90.9090909090909;10.0
2016-07;PARIS-AUSTERLITZ;CERBERE;22;21;1;4;80.95238095238095;4.25
2016-06;PARIS-AUSTERLITZ;CERBERE;8;8;0;3;62.5;1.6666666666666667
2016-05;PARIS-AUSTERLITZ;CERBERE;19;19;0;1;94.73684210526316;18.0
2016-04;PARIS-AUSTERLITZ;CERBERE;23;23;0;1;95.65217391304348;22.0
2016-03;PARIS-AUSTERLITZ;CERBERE;23;23;0;2;91.30434782608695;10.5
2016-02;PARIS-AUSTERLITZ;CERBERE;46;45;1;2;95.55555555555556;21.5
2016-01;PARIS-AUSTERLITZ;CERBERE;56;53;3;6;88.67924528301887;7.833333333333333
2015-12;PARIS-AUSTERLITZ;CERBERE;103;103;0;8;92.23300970873788;11.875
2015-11;PARIS-AUSTERLITZ;CERBERE;99;99;0;16;83.83838383838383;5.1875
2015-10;PARIS-AUSTERLITZ;CERBERE;95;95;0;10;89.47368421052632;8.5
2015-09;PARIS-AUSTERLITZ;CERBERE;100;98;2;9;90.81632653061224;9.88888888888889
2015-08;PARIS-AUSTERLITZ;CERBERE;110;107;3;5;95.32710280373831;20.4
2015-07;PARIS-AUSTERLITZ;CERBERE;106;106;0;20;81.13207547169812;4.3
2015-06;PARIS-AUSTERLITZ;CERBERE;101;99;2;18;81.81818181818181;4.5
2015-05;PARIS-AUSTERLITZ;CERBERE;94;94;0;7;92.55319148936172;12.428571428571429
2015-04;PARIS-AUSTERLITZ;CERBERE;0;0;0;0;0.0;0.0
2015-03;PARIS-AUSTERLITZ;CERBERE;106;106;0;5;95.28301886792453;20.2
2015-02;PARIS-AUSTERLITZ;CERBERE;95;95;0;4;95.78947368421052;22.75
2015-01;PARIS-AUSTERLITZ;CERBERE;106;106;0;10;90.56603773584904;9.6
2014-12;PARIS-AUSTERLITZ;CERBERE;102;95;7;16;83.15789473684211;4.9375
2014-11;PARIS-AUSTERLITZ;CERBERE;98;95;3;10;89.47368421052632;8.5
2014-10;PARIS-AUSTERLITZ;CERBERE;314;314;0;31;90.12738853503186;9.129032258064516
2014-09;PARIS-AUSTERLITZ;CERBERE;272;269;3;31;88.47583643122677;7.67741935483871
2014-08;PARIS-AUSTERLITZ;CERBERE;311;310;1;23;92.58064516129032;12.478260869565217
2014-07;PARIS-AUSTERLITZ;CERBERE;320;310;10;60;80.64516129032258;4.166666666666667
2014-06;PARIS-AUSTERLITZ;CERBERE;209;209;0;33;84.2;5.3
2014-05;PARIS-AUSTERLITZ;CERBERE;26;26;0;0;100.0;0.0
2014-04;PARIS-AUSTERLITZ;CERBERE;304;302;2;24;92.1;11.6
2014-03;PARIS-AUSTERLITZ;CERBERE;313;312;1;15;95.2;19.8
2014-02;PARIS-AUSTERLITZ;CERBERE;283;280;3;21;92.5;12.3
2014-01;PARIS-AUSTERLITZ;CERBERE;317;314;3;20;93.6;14.7
