Relations;Année;Temps estimé en minutes
PARIS - MONTPELLIER;2010;198.0
PARIS - MONTPELLIER;1941;
PARIS - MONTPELLIER;1934;
PARIS - MONTPELLIER;1968;438.0
PARIS - MONTPELLIER;1967;444.0
PARIS - MONTPELLIER;1973;415.0
PARIS - MONTPELLIER;2015;199.0
PARIS - MONTPELLIER;1928;
PARIS - MONTPELLIER;2000;259.0
PARIS - MONTPELLIER;2017;199.0
PARIS - MONTPELLIER;1936;
PARIS - MONTPELLIER;1951;
PARIS - MONTPELLIER;1966;446.0
PARIS - MONTPELLIER;1954;515.0
PARIS - MONTPELLIER;2007;198.0
PARIS - MONTPELLIER;1931;
PARIS - MONTPELLIER;1959;
PARIS - MONTPELLIER;2011;199.0
PARIS - MONTPELLIER;2012;199.0
PARIS - MONTPELLIER;1992;279.0
PARIS - MONTPELLIER;2001;197.0
PARIS - MONTPELLIER;1958;508.0
PARIS - MONTPELLIER;1932;
PARIS - MONTPELLIER;1930;
PARIS - MONTPELLIER;1960;502.0
PARIS - MONTPELLIER;1964;441.0
PARIS - MONTPELLIER;1976;412.0
PARIS - MONTPELLIER;1944;
PARIS - MONTPELLIER;1948;
PARIS - MONTPELLIER;1955;
PARIS - MONTPELLIER;1987;280.0
PARIS - MONTPELLIER;1991;279.0
PARIS - MONTPELLIER;2018;201.0
PARIS - MONTPELLIER;1997;254.0
PARIS - MONTPELLIER;1961;
PARIS - MONTPELLIER;1975;415.0
PARIS - MONTPELLIER;1982;334.0
PARIS - MONTPELLIER;2006;196.0
PARIS - MONTPELLIER;2009;198.0
PARIS - MONTPELLIER;1981;411.0
PARIS - MONTPELLIER;1999;257.0
PARIS - MONTPELLIER;1943;
PARIS - MONTPELLIER;2013;199.0
PARIS - MONTPELLIER;1986;275.0
PARIS - MONTPELLIER;1995;249.0
PARIS - MONTPELLIER;1937;
PARIS - MONTPELLIER;1933;
PARIS - MONTPELLIER;1939;
PARIS - MONTPELLIER;1957;
PARIS - MONTPELLIER;1979;410.0
PARIS - MONTPELLIER;1998;257.0
PARIS - MONTPELLIER;1974;415.0
PARIS - MONTPELLIER;1962;
PARIS - MONTPELLIER;1996;250.0
PARIS - MONTPELLIER;1989;280.0
PARIS - MONTPELLIER;1990;280.0
PARIS - MONTPELLIER;1945;
PARIS - MONTPELLIER;1949;
PARIS - MONTPELLIER;1935;
PARIS - MONTPELLIER;1942;
PARIS - MONTPELLIER;1956;
PARIS - MONTPELLIER;2008;198.0
PARIS - MONTPELLIER;1988;280.0
PARIS - MONTPELLIER;2005;196.0
PARIS - MONTPELLIER;1994;249.0
PARIS - MONTPELLIER;1963;441.0
PARIS - MONTPELLIER;1965;446.0
PARIS - MONTPELLIER;1984;287.0
PARIS - MONTPELLIER;1947;
PARIS - MONTPELLIER;1952;
PARIS - MONTPELLIER;1970;419.0
PARIS - MONTPELLIER;1978;414.0
PARIS - MONTPELLIER;1983;328.0
PARIS - MONTPELLIER;2014;199.0
PARIS - MONTPELLIER;2019;200.0
PARIS - MONTPELLIER;2004;196.0
PARIS - MONTPELLIER;1977;419.0
PARIS - MONTPELLIER;1985;275.0
PARIS - MONTPELLIER;1993;279.0
PARIS - MONTPELLIER;2016;199.0
PARIS - MONTPELLIER;1946;
PARIS - MONTPELLIER;1969;419.0
PARIS - MONTPELLIER;1980;414.0
PARIS - MONTPELLIER;1950;
PARIS - MONTPELLIER;2003;196.0
PARIS - MONTPELLIER;1972;412.0
PARIS - MONTPELLIER;1953;
PARIS - MONTPELLIER;1920;
PARIS - MONTPELLIER;1929;
PARIS - MONTPELLIER;1938;
PARIS - MONTPELLIER;1971;412.0
PARIS - MONTPELLIER;2002;194.0
PARIS - MONTPELLIER;1940;
