Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-07;PARIS-AUSTERLITZ;RODEZ/ALBI;31;31;0;0;100.0;0.0
2025-06;PARIS-AUSTERLITZ;RODEZ/ALBI;13;13;0;1;92.3076923076923;12.0
2025-05;PARIS-AUSTERLITZ;RODEZ/ALBI;25;25;0;2;92.0;11.5
2025-04;PARIS-AUSTERLITZ;RODEZ/ALBI;28;28;0;0;100.0;0.0
2025-03;PARIS-AUSTERLITZ;RODEZ/ALBI;28;28;0;4;85.71428571428571;6.0
2025-02;PARIS-AUSTERLITZ;RODEZ/ALBI;28;28;0;1;96.42857142857144;27.0
2025-01;PARIS-AUSTERLITZ;RODEZ/ALBI;31;30;1;1;96.66666666666669;29.0
2024-12;PARIS-AUSTERLITZ;RODEZ/ALBI;19;18;1;0;100.0;0.0
2024-11;PARIS-AUSTERLITZ;RODEZ/ALBI;16;15;1;2;86.66666666666667;6.5
2024-10;PARIS-AUSTERLITZ;RODEZ/ALBI;27;26;1;2;92.3076923076923;12.0
2024-09;PARIS-AUSTERLITZ;RODEZ/ALBI;29;28;1;0;100.0;0.0
2024-08;PARIS-AUSTERLITZ;RODEZ/ALBI;31;31;0;1;96.7741935483871;30.0
2024-07;PARIS-AUSTERLITZ;RODEZ/ALBI;27;27;0;1;96.29629629629628;26.0
2024-06;PARIS-AUSTERLITZ;RODEZ/ALBI;0;0;0;0;0.0;0.0
2024-05;PARIS-AUSTERLITZ;RODEZ/ALBI;2;0;2;0;0.0;0.0
2024-04;PARIS-AUSTERLITZ;RODEZ/ALBI;30;28;2;4;85.71428571428571;6.0
2024-03;PARIS-AUSTERLITZ;RODEZ/ALBI;11;11;0;1;90.9090909090909;10.0
2024-02;PARIS-AUSTERLITZ;RODEZ/ALBI;7;7;0;1;85.71428571428571;6.0
2024-01;PARIS-AUSTERLITZ;RODEZ/ALBI;27;26;1;4;84.61538461538461;5.5
2023-12;PARIS-AUSTERLITZ;RODEZ/ALBI;16;15;1;2;86.66666666666667;6.5
2023-11;PARIS-AUSTERLITZ;RODEZ/ALBI;24;23;1;3;86.95652173913044;6.666666666666667
2023-10;PARIS-AUSTERLITZ;RODEZ/ALBI;21;19;2;1;94.73684210526316;18.0
2023-09;PARIS-AUSTERLITZ;RODEZ/ALBI;22;21;1;0;100.0;0.0
2023-08;PARIS-AUSTERLITZ;RODEZ/ALBI;29;28;1;0;100.0;0.0
2023-07;PARIS-AUSTERLITZ;RODEZ/ALBI;23;22;1;0;100.0;0.0
2023-06;PARIS-AUSTERLITZ;RODEZ/ALBI;20;19;1;1;94.73684210526316;18.0
2023-05;PARIS-AUSTERLITZ;RODEZ/ALBI;22;22;0;1;95.45454545454544;21.0
2023-04;PARIS-AUSTERLITZ;RODEZ/ALBI;18;18;0;2;88.88888888888889;8.0
2023-03;PARIS-AUSTERLITZ;RODEZ/ALBI;5;5;0;0;100.0;0.0
2023-02;PARIS-AUSTERLITZ;RODEZ/ALBI;22;21;1;0;100.0;0.0
2023-01;PARIS-AUSTERLITZ;RODEZ/ALBI;26;26;0;0;100.0;0.0
2022-12;PARIS-AUSTERLITZ;RODEZ/ALBI;15;13;2;2;84.61538461538461;5.5
2022-11;PARIS-AUSTERLITZ;RODEZ/ALBI;25;25;0;2;92.0;11.5
2022-10;PARIS-AUSTERLITZ;RODEZ/ALBI;24;23;1;0;100.0;0.0
2022-09;PARIS-AUSTERLITZ;RODEZ/ALBI;26;25;1;1;96.0;24.0
2022-08;PARIS-AUSTERLITZ;RODEZ/ALBI;31;31;0;7;77.41935483870968;3.4285714285714284
2022-07;PARIS-AUSTERLITZ;RODEZ/ALBI;27;26;1;2;92.3076923076923;12.0
2022-06;PARIS-AUSTERLITZ;RODEZ/ALBI;14;14;0;2;85.71428571428571;6.0
2022-05;PARIS-AUSTERLITZ;RODEZ/ALBI;8;8;0;0;100.0;0.0
