Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01;National;NIMES;PARIS LYON;176;341;2;;174;10.28266284;5.371238938;;72;39.94976852;7.793854474;;59;7.793854474;32;12;18.75;40.625;17.1875;17.1875;1.5625;4.6875
2018-02;National;NIMES;PARIS LYON;176;318;0;;183;8.001275046;4.686268344;;71;28.99694836;6.626310273;Heurt d’un chien par le TGV 6103 (rame 4723) en gare de Valence.;53;6.626310273;25;4;36.66666667;40.0;5.0;16.66666667;0.0;1.666666667
2018-03;National;NIMES;PARIS LYON;176;343;8;;161;13.47639752;6.597761194;;53;41.35880503;5.944378109;Accident de personne voie 1bis en sortie de Paris-Gare-de-Lyon.;40;5.944378109;23;8;53.19148936;12.76595745;12.76595745;19.14893617;0.0;2.127659574
2018-04;National;NIMES;PARIS LYON;176;459;177;;139;11.49580336;3.596985816;;43;34.98565891;4.993676123;;37;4.993676123;13;8;38.88888889;25.0;8.333333333;22.22222222;2.777777778;2.777777778
2018-05;National;NIMES;PARIS LYON;176;484;146;;82;21.92560976;6.043195266;;66;41.33686869;7.264891519;Heurt d’une personne par le TGV 6608 à Maisons-Alfort.;54;7.264891519;29;12;48.07692308;23.07692308;9.615384615;9.615384615;1.923076923;7.692307692
2018-06;National;NIMES;PARIS LYON;176;487;101;;128;23.21445313;8.38462867;;100;42.8085;12.1447323;heurt d’un animal par le TGV 6137 entre Tonnerre et Pasilly;79;12.1447323;56;23;27.39726027;32.87671233;23.28767123;13.69863014;0.0;2.739726027
2018-07;National;NIMES;PARIS LYON;177;443;2;;306;13.74923747;9.603401361;;151;39.3683223;16.57486772;heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’.;126;16.57486772;67;34;20.19230769;27.88461538;32.69230769;9.615384615;2.884615385;6.730769231
2018-08;National;NIMES;PARIS LYON;176;418;4;;297;12.34725028;8.950483092;;111;38.38168168;10.84464573;•heurt d’une personne par le TGV 6839 à Montpellier : 12 TGV retardés pour 1009 min, 8 TGV de l’axe perdus à 5’.;85;10.84464573;46;18;25.0;23.75;23.75;20.0;2.5;5.0
2018-09;National;NIMES;PARIS LYON;176;310;3;;195;10.53162393;6.807600434;;53;50.32421384;8.786319218;Accident de personne à chevry, restitution tardive tx Heyrieux, déraillement bourreuse à Vénissieux, incendie sous station de manduel;41;8.786319218;27;13;30.76923077;28.84615385;17.30769231;13.46153846;3.846153846;5.769230769
2018-10;National;NIMES;PARIS LYON;176;316;13;;217;12.44677419;9.01320132;;76;56.41359649;14.61463146;2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud;60;14.61463146;36;20;35.52631579;42.10526316;11.84210526;5.263157895;5.263157895;0.0
2018-11;National;NIMES;PARIS LYON;176;307;5;;200;11.86633333;7.956181015;;87;35.32088123;10.71539735;;65;10.71539735;39;15;36.7816092;35.63218391;13.79310345;5.747126437;3.448275862;4.597701149
2018-12;National;NIMES;PARIS LYON;176;308;3;;166;8.605722892;4.768032787;;58;26.85316092;4.76010929;;42;4.76010929;19;4;36.20689655;13.79310345;25.86206897;13.79310345;5.172413793;5.172413793
2019-01;National;NIMES;PARIS LYON;176;309;3;;104;9.353525641;3.315305011;;43;32.64302326;3.902668845;;31;3.902668845;18;4;55.81395349;18.60465116;9.302325581;9.302325581;4.651162791;2.325581395
2019-02;National;NIMES;PARIS LYON;176;280;3;;103;10.52119741;4.005415162;;40;53.09333333;7.006979543;Accidents de personne;31;7.006979543;16;8;12.82051282;38.46153846;33.33333333;7.692307692;2.564102564;5.128205128
2019-03;National;NIMES;PARIS LYON;176;310;1;;168;8.765178571;4.864239482;;36;48.60787037;4.963592233;Incendie motrice à cluny, colis suspect à Valence TGV, chute d'arbre vers Vaumort;31;4.963592233;12;11;22.22222222;25.0;30.55555556;13.88888889;8.333333333;0.0
2019-04;National;NIMES;PARIS LYON;176;314;0;;193;5.167184801;3.292993631;;27;28.6808642;1.364065817;;22;1.364065817;7;2;33.33333333;16.66666667;33.33333333;4.166666667;8.333333333;4.166666667
2019-05;National;NIMES;PARIS LYON;176;341;4;;306;5.377233115;4.867903066;;55;34.55060606;4.686646884;;39;43.67094017;16;7;33.96226415;22.64150943;24.52830189;15.09433962;1.886792453;1.886792453
