Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-07;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;30;1;4;86.66666666666667;6.5
2025-06;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;8;8;0;2;75.0;3.0
2025-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;6;6;0;0;100.0;0.0
2025-04;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;6;6;0;0;100.0;0.0
2025-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;6;6;0;1;83.33333333333334;5.0
2025-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;8;8;0;1;87.5;7.0
2025-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;9;8;1;1;87.5;7.0
2024-12;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;16;16;0;4;75.0;3.0
2024-11;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;24;24;0;5;79.16666666666666;3.8
2024-10;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;23;22;1;4;81.81818181818183;4.5
2024-09;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;28;28;0;4;85.71428571428571;6.0
2024-08;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;31;0;4;87.09677419354838;6.75
2024-07;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;29;2;5;82.75862068965517;4.8
2024-06;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;30;30;0;5;83.33333333333334;5.0
2024-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;23;23;0;2;91.30434782608695;10.5
2024-04;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;25;25;0;7;72.0;2.571428571428572
2024-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;29;29;0;4;86.20689655172413;6.25
2024-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;25;25;0;2;92.0;11.5
2024-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;30;29;1;8;72.41379310344827;2.625
2023-12;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;19;17;2;6;64.70588235294117;1.8333333333333333
2023-11;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;11;9;2;4;55.55555555555556;1.25
2023-10;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;11;11;0;2;81.81818181818183;4.5
2023-09;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;26;26;0;2;92.3076923076923;12.0
2023-08;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;31;0;3;90.32258064516128;9.333333333333334
2023-07;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;30;1;2;93.33333333333331;14.0
2023-06;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;28;28;0;8;71.42857142857143;2.5
2023-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;20;20;0;6;70.0;2.333333333333333
2023-04;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;17;17;0;1;94.11764705882352;16.0
2023-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;5;5;0;2;60.0;1.5
2023-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;23;23;0;2;91.30434782608695;10.5
2023-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;27;27;0;6;77.77777777777779;3.5
2022-12;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;22;17;5;9;47.05882352941176;0.8888888888888888
2022-11;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;25;25;0;5;80.0;4.0
2022-10;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;25;25;0;1;96.0;24.0
2022-09;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;24;21;3;3;85.71428571428571;6.0
2022-08;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;30;28;2;7;75.0;3.0
2022-07;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;30;26;4;3;88.46153846153845;7.666666666666667
2022-06;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;25;23;2;0;100.0;0.0
2022-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;22;20;2;2;90.0;9.0
2022-04;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;22;22;0;3;86.36363636363636;6.333333333333333
2022-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;29;29;0;2;93.10344827586206;13.5
2022-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;24;24;0;1;95.83333333333334;23.0
2022-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;24;20;4;2;90.0;9.0
2021-12;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;18;11;7;7;36.36363636363637;0.5714285714285714
2021-11;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;23;19;4;2;89.47368421052632;8.5
2021-10;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;24;21;3;0;100.0;0.0
2021-09;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;28;25;3;0;100.0;0.0
2021-08;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;25;6;1;96.0;24.0
2021-07;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;29;25;4;0;100.0;0.0
2021-06;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;29;27;2;0;100.0;0.0
2021-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;25;24;1;4;83.33333333333334;5.0
2021-04;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;0;0;0;0;0.0;0.0
2021-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;27;24;3;0;100.0;0.0
2021-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;28;23;5;0;100.0;0.0
2021-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;28;13;15;1;92.3076923076923;12.0
2020-12;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;13;11;2;1;90.9090909090909;10.0
2020-11;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;7;5;2;2;60.0;1.5
2020-10;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;22;19;3;0;100.0;0.0
2020-09;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;23;17;6;1;94.11764705882352;16.0
2020-08;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;2;2;0;0;100.0;0.0
2020-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;12;10;2;0;100.0;10.0
2020-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;19;16;3;0;100.0;0.0
2020-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;1;1;0;0;100.0;0.0
2019-12;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;2;1;1;0;100.0;0.0
2019-11;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;17;14;3;1;92.85714285714286;13.000000000000009
