Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;184;0;;23;11.22173913;1.193931159;;26;40.11666667;7.510507246;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;7.510507246;12;3;59.09090909;22.72727273;4.545454545;9.090909091;4.545454545;0.0
2018-02;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;168;3;;25;17.83866667;2.478787879;;40;55.19041667;15.96111111;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";40;15.96111111;23;10;58.33333333;19.44444444;8.333333333;11.11111111;2.777777778;0.0
2018-03;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;183;4;;17;4.467647059;0.129422719;;29;37.90229885;8.020670391;;29;8.020670391;12;5;37.5;25.0;12.5;25.0;0.0;0.0
2018-04;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;259;150;42;;16;6.747916667;0.604475309;;17;23.79705882;5.863888889;;17;5.863888889;3;0;42.85714286;7.142857143;14.28571429;28.57142857;7.142857143;0.0
2018-05;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;258;161;34;;10;21.83166667;1.696062992;;17;26.09019608;6.029396325;;17;6.029396325;6;0;23.52941176;11.76470588;5.882352941;52.94117647;5.882352941;0.0
2018-06;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;258;175;21;;12;17.52361111;1.245670996;;33;40.5;10.88820346;;33;10.88820346;14;6;27.27272727;30.3030303;9.090909091;27.27272727;3.03030303;3.03030303
2018-07;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;264;201;33;;49;8.856122449;2.338392857;;49;49.27755102;17.3484127;"Ce mois-ci, l'OD a été touchée par 2 journées de grève ainsi que  par les incidents suivants :
- le 4 : intempéries dans la région de Bordeaux avec plusieurs arbres sur les voies vers Facture, Bordeaux et Angoulême (22 TGV retardés pour 2513 minutes perdues),
- le 13 : un dérangement électrique vers Massy (33 TGV retardés pour 797 minutes perdues) et un client qui bloque les portes d'un TGV au départ de Paris-Montparnasse (10 TGV retardés pour 132 minutes perdues), 
- le 16 : rupture caténaire suite à la foudre à Moissac (9 TGV retardés pour 558 minutes perdues),
- le 19 : un dérangement d'installation sur la ligne à grande vitesse près de Poitiers nécessite le détournement des TGV par ligne classique (14 TGV retardés pour 295 minutes perdues)
- le 25 : une défaillance sur un aiguillage après le passage d'un engin travaux sur le chantier de renouvellement des appareils de voies de la ligne à grande vitesse Atlantique (33 TGV retardés pour un total de  663 minutes perdues),
- du 27 au 30 : suite à l'incendie d'un transformateur électrique à Issy-les-Moulineaux, le vendredi 27, l'accès à la gare de Paris-Montparnasse est restreint (322 TGV supprimés et 160 détournés par Paris Austerlitz).";49;17.3484127;21;14;30.6122449;40.81632653;18.36734694;8.163265306;0.0;2.040816327
2018-08;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;264;188;1;;31;7.332258065;0.942335116;;21;34.05952381;6.233778966;;21;6.233778966;10;1;42.85714286;28.57142857;0.0;23.80952381;4.761904762;0.0
2018-09;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;263;178;0;;13;5.517948718;-0.013483146;;25;32.03266667;7.00093633;;25;7.00093633;10;1;32.0;32.0;8.0;24.0;0.0;4.0
2018-10;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;263;179;2;;17;10.88235294;0.651318267;;24;46.08125;7.840112994;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- du 1er au 12 octobre : une limitation de vitesse entre Montauban et Agen suite à des travaux sur la zone (14 TGV pour 286 minutes perdues),
- le 10 : une  absence de défaillance électrique entre Massy et Marcoussis (23 TGV retardés pour  308 minutes perdues) , 
- le 11 : une restitution tardive de travaux suite à la panne d'un train de travaux sur la ligne à grande vitesse Atlantique (21 TGV pour 431 minutes perdues),  
- le 15 : une personne dans les voies à St-Cyr  du Gaultsur la ligne à grande vitesse Atlantique nécessite l'interruption des circulations ( 32 TGV pour 620 minutes perdues),  
- le 24 : un défaut d'alimentation électrique sur la ligne à grande vitesse Atlantique (40 TGV pour 1025 minutes perdues).";24;7.840112994;11;5;20.83333333;41.66666667;16.66666667;12.5;8.333333333;0.0
